-1 1:0.133807 2:0.124051 3:0.134454 4:0.108275 5:0.132097 6:0.111111 7:0.114355 8:0.0854592 9:0.125318 10:0.108 11:0.100529 12:0.0904762 13:0.102227 14:0.103627 15:0.0876452 16:0.0931059
-1 1:0.164391 2:0.108861 3:0.139706 4:0.132251 5:0.128621 6:0.139918 7:0.104623 8:0.112245 9:0.126164 10:0.114 11:0.146384 12:0.15873 13:0.128543 14:0.13342 15:0.13622 16:0.110874
-1 1:0.0928454 2:0.0911392 3:0.085084 4:0.0966744 5:0.0950174 6:0.0617284 7:0.10219 8:0.0548469 9:0.081287 10:0.084 11:0.0846561 12:0.0984127 13:0.097166 14:0.0738342 15:0.0813094 16:0.0604122
-1 1:0.179137 2:0.172152 3:0.211134 4:0.203403 5:0.174971 6:0.183128 7:0.187348 8:0.149235 9:0.186283 10:0.18 11:0.227513 12:0.201587 13:0.228745 14:0.159326 15:0.166843 16:0.189765
-1 1:0.145822 2:0.173418 3:0.122899 4:0.155452 5:0.180765 6:0.22428 7:0.153285 8:0.127551 9:0.116003 10:0.154 11:0.144621 12:0.12381 13:0.159919 14:0.141192 15:0.118268 16:0.105899
-1 1:0.112507 2:0.136709 3:0.0798319 4:0.0742459 5:0.123986 6:0.0884774 7:0.0900243 8:0.0663265 9:0.0838273 10:0.08 11:0.0740741 12:0.0412698 13:0.0718623 14:0.0673575 15:0.0538543 16:0.0540156
-1 1:0.0786455 2:0.0860759 3:0.0798319 4:0.062645 5:0.0950174 6:0.0864198 7:0.0705596 8:0.067602 9:0.0635055 10:0.092 11:0.0793651 12:0.0730159 13:0.0647773 14:0.0699482 15:0.0654699 16:0.0497512
-1 1:0.0202075 2:0.0227848 3:0.0294118 4:0.025522 5:0.0266512 6:0.0123457 7:0.0170316 8:0.0306122 9:0.0254022 10:0.028 11:0.0652557 12:0.0396825 13:0.0232794 14:0.0336788 15:0.0348469 16:0.0312722
-1 1:0.0775532 2:0.0810127 3:0.0945378 4:0.0858469 5:0.0834299 6:0.117284 7:0.0729927 8:0.0701531 9:0.0906012 10:0.082 11:0.123457 12:0.109524 13:0.0840081 14:0.0725389 15:0.101373 16:0.0859986
-1 1:0.139268 2:0.159494 3:0.141807 4:0.137664 5:0.16686 6:0.197531 7:0.148418 8:0.146684 9:0.132091 10:0.16 11:0.194004 12:0.195238 13:0.137652 14:0.15285 15:0.171067 16:0.152097
